Process;Rev_num;Sw_rev;Sw;Pc;krw;kro;
0;2;0,201813790495219;0,0919219303885401;4742,60241964286;0;0,815856856793028;0,90807807
0;2;0,201813790495219;0,0819023748120062;4988,23452321429;0;0,856302302144702;0,918097625
0;2;0,201813790495219;0,0718764959590726;5322,10608214286;0;0,895425550725688;0,928123504
0;2;0,401451935796925;0,401451935796925;1801,25308392857;0,0426343471231293;0,306431870705958;0,598548064
0;2;0,401451935796925;0,391467889847715;1917,62064642857;0,0364662837491586;0,312553190172007;0,60853211
0;2;0,401451935796925;0,381492328414405;2030,03457857143;0,0313247127977972;0,317359372860342;0,618507672
0;2;0,401451935796925;0,371521141220403;2146,79245714286;0,0257550972063736;0,320660731716005;0,628478859
0;2;0,401451935796925;0,361552903088856;2246,94474642857;0,0214756800530191;0,322878132379371;0,638447097
0;2;0,401451935796925;0,351583655133553;2349,92213035714;0,0191578538039491;0,324729925115024;0,648416345
0;2;0,401451935796925;0,341621019555218;2471,07084642857;0,01787193960763;0,326547945674721;0,65837898
0;2;0,401451935796925;0,331661246530547;2598,67190892857;0,0168410809251293;0,328669176046553;0,668338753
0;2;0,401451935796925;0,321688482214766;2672,64381428571;0,0142192862765235;0,330614389053698;0,678311518
0;2;0,401451935796925;0,31172713262286;2788,23407678571;0,0120349496991583;0,331590710496626;0,688272867
0;2;0,401451935796925;0,30176941085468;2912,64155357143;0,0109128250883524;0,332429900823181;0,698230589
0;2;0,401451935796925;0,291780045169455;2845,96960178571;0,00789828785521193;0,333228065996943;0,708219955
0;2;0,401451935796925;0,281836059444337;3035,08618392857;0,00630336500332535;0,343756316703565;0,718163941
0;2;0,401451935796925;0,27187768941478;3176,97105;0,00475851084967337;0,357497153689051;0,728122311
0;2;0,401451935796925;0,261881035364033;3136,55383928571;0,00412262886155683;0,363603709889611;0,738118965
0;2;0,401451935796925;0,251913541984437;3303,74050714286;0,00367775232981778;0,375152780901481;0,748086458
0;2;0,401451935796925;0,241938304404545;3400,69240178571;0,00230533166970522;0,428324916958642;0,758061696
0;2;0,401451935796925;0,231942342424115;3468,47548928571;0;0,460612580634085;0,768057658
0;2;0,401451935796925;0,221982400818213;3696,21282321429;0;0,480694722607006;0,778017599
0;2;0,401451935796925;0,211960936490254;3597,29957142857;0;0,492157224274507;0,788039064
0;2;0,401451935796925;0,201986213526751;3741,1639125;0;0,51353200432316;0,798013786
0;2;0,401451935796925;0,191992773610263;3855,69362142857;0;0,523964486787963;0,808007226
0;2;0,401451935796925;0,182004767665756;3941,13165;0;0,547531547433865;0,817995232
0;2;0,401451935796925;0,171997100935189;4076,13583928571;0;0,582780291169227;0,828002899
0;2;0,401451935796925;0,161983644770244;4248,769425;0;0,625456002775108;0,838016354999999
0;2;0,401451935796925;0,151943423562167;4603,13924464286;0;0,632437129677034;0,848056576
0;2;0,401451935796925;0,141983235184398;4489,64873035714;0;0,649303243825542;0,858016765
0;2;0,401451935796925;0,131984087905973;4252,79905714286;0;0,689368092836174;0,868015912
0;2;0,401451935796925;0,122022890813536;4942,10989285714;0;0,700511592178782;0,877977109
0;2;0,401451935796925;0,111951115524464;4400,06912678571;0;0,804164672165045;0,888048884
0;2;0,401451935796925;0,101972670464835;5079,49959107143;0;0,806523980295383;0,89802733
0;2;0,401451935796925;0,0919333703535498;5204,29301785714;0;0,836443796304568;0,90806663
0;2;0,401451935796925;0,0819119587072253;5436,76280357143;0;0,872029361208137;0,918088041
0;2;0,401451935796925;0,0718304983155269;4922,32604464286;0;0,890634822828351;0,928169502
0;2;0,600923635528911;0,600923635528911;1441,1608875;0,177339368474783;0,0521314368058662;0,399076364
0;2;0,600923635528911;0,591005234208135;1576,37891785714;0,168182268111998;0,0547167258229214;0,408994765999999
