Process,Rev_num,Sw_rev,Sw,Pc,krw,kro,1-Sw
1,1,0.061788966,0.481288703,1655.765636,0.093823971,0.179412868,0.518711297
1,1,0.061788966,0.491273749,1636.835373,0.104501051,0.174659981,0.508726251
1,1,0.061788966,0.501259279,1645.296032,0.108830794,0.169814976,0.498740721
1,1,0.061788966,0.511226147,1582.432859,0.115099263,0.166830191,0.488773853
1,1,0.061788966,0.521225683,1655.963604,0.116246712,0.140183627,0.478774317
1,1,0.061788966,0.541141934,1538.30392,0.128897709,0.13567523,0.458858066
1,1,0.061788966,0.551123977,1535.422784,0.136116576,0.130475909,0.448876023
1,1,0.061788966,0.561091861,1504.906821,0.142887235,0.125701361,0.438908139
1,1,0.061788966,0.571071846,1517.541246,0.151704918,0.115514434,0.428928154
1,1,0.061788966,0.581036903,1468.826625,0.163600799,0.053636085,0.418963097
1,1,0.061788966,0.591031512,1558.95398,0.167433362,0.054575031,0.408968488
1,1,0.061788966,0.600973988,1441.625561,0.176744447,0.051860237,0.399026012
1,1,0.061788966,0.610942365,1405.057827,0.187484964,0.04668934,0.389057635
1,1,0.061788966,0.620914659,1401.688061,0.200304496,0.037805515,0.379085341
1,1,0.061788966,0.630885233,1348.35052,0.210862145,0.03229798,0.369114767
1,1,0.061788966,0.640891717,1539.021836,0.247932769,0,0.359108283
1,1,0.061788966,0.650804927,1371.151575,0.259418638,0,0.349195073
1,1,0.061788966,0.660798768,1443.700666,0.281007855,0,0.339201232
1,1,0.061788966,0.670752382,1372.089745,0.290861386,0,0.329247618
1,1,0.061788966,0.680689341,1273.891891,0.303877231,0,0.319310659
1,1,0.061788966,0.690649263,1222.594114,0.297178873,0,0.309350737
1,1,0.061788966,0.700651918,1285.849848,0.293788002,0,0.299348082
1,1,0.061788966,0.710543743,1083.229564,0.298610058,0,0.289456257
1,1,0.061788966,0.720520392,1114.954409,0.299812299,0,0.279479608
1,1,0.061788966,0.730416611,960.7963125,0.291197065,0,0.269583389
1,1,0.061788966,0.740365726,864.6657107,0.280122477,0,0.259634274
1,1,0.061788966,0.750267179,707.1188571,0.268746464,0,0.249732821
1,1,0.061788966,0.760279478,755.3495571,0.27005303,0,0.239720522
0,2,0.20181379,0.20181379,2294.734302,0.000396548,0.707400264,0.79818621
0,2,0.20181379,0.191833054,2455.637336,0,0.714786094,0.808166946
