Sw, kro, krw, Pc
0.381963392777532, 0.0523187147789374, 0.214743195167877, 0.00318376896964286
0.391982070757696, 0.0576286142962606, 0.195696057814106, 0.0032395757678571396
0.401878104179332, 0.0592419223990982, 0.180290606357709, 0.00301910765357143
0.411789253158792, 0.0646533266035572, 0.109293408081344, 0.0028270180660714297
0.421947468447562, 0.0727187815835178, 0.101731070072199, 0.00313854464464286
0.431938953058039, 0.0825446610893794, 0.0784205251846755, 0.00314518752321429
0.441841967197721, 0.0876202508581148, 0.0777763048463153, 0.0029495017875
0.451791965511162, 0.0932428823329948, 0.0730044186067643, 0.00287227041428571
0.461700742498839, 0.0970388073661619, 0.0726073655668382, 0.00269674473214286
0.471740513966106, 0.101930240675804, 0.0706963348263583, 0.0028030217410714296
0.481604294064563, 0.103330211551322, 0.0699340308788654, 0.00252306959464286
0.491531763722234, 0.107687864362579, 0.0674478036948851, 0.00280620224464286
0.50148652652957, 0.109303333884678, 0.0644548668238467, 0.0024453645803571397
0.511475621963934, 0.117696329117252, 0.0645010961081346, 0.00250497401785714
0.521454705031957, 0.118574027765392, 0.0607177600556051, 0.00249406868035714
0.531371436146788, 0.12031816284509, 0.06009173648729, 0.00232972744285714
0.541325030419728, 0.128125829981378, 0.059820254830366, 0.00226133793214286
0.551262693710699, 0.134465189048198, 0.0593194842216796, 0.00213235581964286
0.561183671017877, 0.143367680976447, 0.0582688237866763, 0.0019677477857142902
0.571139639499933, 0.151262563953043, 0.0573447060867834, 0.0018554731285714298
0.581075873719903, 0.159612319543001, 0.0561861869709679, 0.0017434630874999999
0.591005234208135, 0.168182268111998, 0.0547167258229214, 0.00157637891785714
0.600923635528911, 0.177339368474783, 0.0521314368058662, 0.0014411608874999998

0.60134177264995, 0.1090798151504072, 0.0828532648004752, 0.0030774665303571437
0.6111958567384234, 0.1137795061269562, 0.0816606615181252, 0.002621077028571429
0.6210832370617299, 0.1195767365351339, 0.0798745717466961, 0.0023596046624999997
0.6309996320399058, 0.1320221452198741, 0.0775819395408897, 0.0022930039071428565
0.6408844823386883, 0.145173067525938, 0.0741304376319175, 0.0020304853875
0.65086537904099, 0.1536483768087111, 0.0625613027311317, 0.001967011692857142
0.6607951636874154, 0.1686863419611325, 0.0543241950381758, 0.0018638309785714289
0.6707527396801495, 0.1801940983444155, 0.0, 0.0017996253
0.6807167936477634, 0.1999829048461705, 0.0, 0.001737540214285714
0.6906802748845511, 0.227758059026205, 0.0, 0.0017759450625
0.700734853685679, 0.2430266527600351, 0.0, 0.0016235679857142856
0.7106993969767174, 0.260391549783444, 0.0, 0.0015772045017857141
0.7206834464788102, 0.2817926721293429, 0.0, 0.001583791869642857
0.7306226005567144, 0.3108633591430487, 0.0, 0.0015105802714285715
0.7405640233159497, 0.3249311268737829, 0.0, 0.0014428063660714284
0.7504067361952992, 0.330566705957645, 0.0, 0.0010977996803571426
0.7602477753661177, 0.3393776897628413, 0.0, 0.0007501957875
0.7702749520554791, 0.3480169500942927, 0.0, 0.0008199458517857143
0.7802669197002577, 0.3557413221790805, 0.0, 0.0008181217232142857

0.0516672708403957 0.0 0.9584520539232292 0.006725664857142857
0.0616131903815512 0.0 0.950468986970614 0.006089364267857143
0.0716570565219113 0.0 0.9307309352247252 0.005673531535714285
0.0815803721112842 0.0 0.9218842011589806 0.005120696003571429
0.0916698047749562 0.0 0.9051334431143478 0.005283498916071428
0.1016405590118309 0.0 0.8912662177808416 0.005030482366071428
0.1114996853395546 0.0 0.8553868349464506 0.004584942525
0.1218779818426498 0.0 0.8448262111968754 0.004267437
0.1318954932001216 0.0 0.8189066451017921 0.0040298852625
0.1418920272570982 0.0 0.8134391388802737 0.003707288780357143
0.1518835130358894 0.0 0.7921434982972793 0.0036198849910714288
0.1617153131607355 0.0 0.7876609656285287 0.0043974014196428565
0.1716696974040254 0.0 0.7848886398682305 0.0036919792660714285
0.181930166256313 0.0016317703865137 0.7766959281128679 0.003836955048214286
0.1919905226293811 0.0057661719069692 0.7647724201615709 0.0040300923375
0.2018913913420077 0.0059202011728111 0.7604594077341338 0.003470736980357143
0.2120819328931162 0.0074066048566158 0.7247073781670763 0.004355505712499999
0.2219908175618391 0.0072524649466926 0.7207458215174273 0.003834416282142857
0.2317035902212098 0.0069979470537515 0.7167112365577694 0.0029092226892857144
0.2418912358392446 0.0105129514284544 0.7096948418549512 0.00344413155
0.25193392184826 0.0148935000059905 0.7039848674920534 0.003661819028571429
0.2619713098625642 0.0151269475991721 0.6728383656421824 0.003870374598214285
0.2719411223950428 0.0151962963502007 0.6228809386863733 0.004187957860714285
0.2820041063883497 0.0163778022563512 0.6053092594541789 0.003449869864285714
0.291925429561961 0.0169761615879612 0.5908764466653313 0.0040937081571428575
0.3019617766683366 0.0168653663360397 0.5888668735400067 0.003268787389285714
0.3118484529659503 0.0163006183605007 0.5790552684071828 0.003347793176785714
0.321997814630017 0.0163948636380047 0.5574902705979516 0.003936254051785714
0.3320096909588919 0.0164244030345747 0.4936501474356505 0.0038363571
0.341933408455554 0.0164621828420781 0.4846278623828859 0.003445783398214285
0.351965006272195 0.0164698266112363 0.4579914255661644 0.0036188084571428573
0.3619196157609036 0.0176685844706046 0.4374225943737324 0.003511138928571429
0.37180937959631 0.0181690495215085 0.4364037360710882 0.003177670591071429
0.381957256884319 0.0191611554361986 0.3444896714634682 0.0035463968196428573
0.3918478277101018 0.0192953982274271 0.3400968602088423 0.003269082685714286
0.4018688306496435 0.0202786992533856 0.3183258038803104 0.003338119001785714
0.4118420087032716 0.0228180436373501 0.2958211676440361 0.003236620982142857
0.421636317979547 0.0241340231112649 0.2946148737648329 0.003144240546428572
0.4316042186164404 0.0247711802402536 0.2901215661637534 0.0029545157571428575
0.441491702189584 0.0310249863443814 0.2883034008661598 0.002649647367857143
0.45152265491237 0.0272153128192023 0.2858806171270122 0.003204125373214285
0.4615406539379819 0.0433908695957382 0.2745175503947203 0.0033074492625
0.4715688818105547 0.0456981589259097 0.2727543694159817 0.0032087464017857147
0.4815019228970975 0.0474559974680517 0.2720054633731504 0.0030062650714285707
0.491442596862705 0.0503431148544262 0.2708311244051976 0.0028135963285714286
0.5013590503144864 0.0536435248727653 0.269034653710159 0.0025424776392857142
0.5114514344886859 0.0456372693008588 0.2628752360132332 0.0030369454125
0.5213481175779425 0.0487853491154464 0.2565994651291428 0.0030384418982142853
0.5315036051087425 0.045386070247895 0.2093491193060815 0.003107620376785714
0.5413798027218868 0.0497997913040345 0.2064777284963107 0.0027636725464285712
0.5513194993100266 0.0572628535896566 0.1850214931756483 0.002597718423214286
0.5614642823627612 0.058144553436548 0.1786856078183552 0.0030427739410714286
0.5712575545819059 0.06375208231598 0.0901197456826494 0.0029517248785714285
0.5814211689591205 0.0898382192156765 0.0887845225012349 0.003522660841071428
0.5912598150520676 0.0963655172252973 0.0880472662509097 0.003036193596428572
0.6013195073668618 0.1070459340993881 0.0828033945539793 0.0031401171107142863
0.6114230344220952 0.1181749966408746 0.0706928386020474 0.003545335601785714
0.6212459891337517 0.1228703567379069 0.0 0.003034020171428572
0.6311297423914707 0.126636353190381 0.0 0.0027499163517857145
0.6413076368146897 0.1578388219686075 0.0 0.0033380794607142856
0.6511629966735438 0.166235672053838 0.0 0.002928515217857143
0.6610579294847884 0.17501219215757 0.0 0.002674287117857143
0.670962119321964 0.1887588025769457 0.0 0.002459438539285714
0.6809750875484893 0.2166943585107853 0.0 0.0025711456125
0.6909298798677517 0.2214281400866642 0.0 0.002467242921428571
0.7008599238115649 0.2323979217889475 0.0 0.0022814089339285716
0.7107127276241162 0.2429677605179622 0.0 0.0018182130803571428
0.7206699624808778 0.2822737808988271 0.0 0.0016900138767857143
0.730924772056211 0.3305760335110044 0.0 0.002459612646428571
0.7409159646884885 0.3386122675177684 0.0 0.002385491748214285
0.7509102832572631 0.3564644327122764 0.0 0.0023260759553571427
0.7607305654503753 0.3619854758736802 0.0 0.0024803764339285717
0.7710699141182538 0.3740637890467667 0.0 0.002488785182142857

0.0367638580533453, 0.0, 0.983162865594861, 0.00680230425
0.0467689185415249, 0.0, 0.964666584594918, 0.00624583473214286
0.0567709773534503, 0.0, 0.955124336688331, 0.00564436896428571
0.0668317305754566, 0.0, 0.949706941943137, 0.00578840405357143
0.0768033467438131, 0.0, 0.935642631839941, 0.00462955913035714
