TStep[d],Defaulta,bestTol,cnvminmaxresid,iterationNumber
1.20e+01,5.00e-03,5.00e-03,1.71e+00,0
1.20e+01,5.00e-03,5.00e-03,1.65e+00,1
1.20e+01,5.00e-03,6.00e-03,3.28e-01,2

3.00e+00,5.00e-03,5.00e-03,1.37e-01,0
3.00e+00,5.00e-03,6.00e-03,2.55e-02,1

1.00e+00,5.00e-03,5.00e-03,2.43e-01,0
1.00e+00,5.00e-03,6.00e-03,1.29e-01,1

1.10e+01,5.00e-03,5.00e-03,1.03e+00,0
1.10e+01,5.00e-03,5.00e-03,1.35e+00,1
1.10e+01,5.00e-03,6.00e-03,2.46e+00,2
1.10e+01,5.00e-03,5.00e-03,5.59e-01,3

2.10e+01,5.00e-03,5.00e-03,1.24e+00,0
2.10e+01,5.00e-03,5.00e-03,2.36e+00,1
2.10e+01,5.00e-03,6.00e-03,2.61e+00,2
2.10e+01,5.00e-03,6.00e-03,1.41e+00,3
2.10e+01,5.00e-03,6.00e-03,3.18e-01,4

9.00e+00,5.00e-03,5.00e-03,1.38e-01,0
9.00e+00,5.00e-03,5.00e-03,1.10e-01,1

1.40e+01,5.00e-03,5.00e-03,4.68e+00,0
1.40e+01,5.00e-03,5.00e-03,2.89e-01,1

1.70e+01,5.00e-03,5.00e-03,6.13e+00,0
1.70e+01,5.00e-03,6.00e-03,1.64e+01,1
1.70e+01,5.00e-03,6.00e-03,4.21e+00,2
1.70e+01,5.00e-03,5.00e-03,7.95e-01,3

4.00e+00,5.00e-03,5.00e-03,3.86e-01,0
4.00e+00,5.00e-03,6.00e-03,1.36e-01,1

2.50e+01,5.00e-03,5.00e-03,2.65e+00,0
2.50e+01,5.00e-03,5.00e-03,5.34e+00,1
2.50e+01,5.00e-03,5.00e-03,2.32e+00,2
2.50e+01,5.00e-03,6.00e-03,8.23e+00,3
2.50e+01,5.00e-03,5.00e-03,6.43e+00,4
2.50e+01,5.00e-03,5.00e-03,2.34e+00,5
2.50e+01,5.00e-03,5.00e-03,5.57e-01,6

2.00e+00,5.00e-03,5.00e-03,1.60e-01,0
2.00e+00,5.00e-03,6.00e-03,2.11e-01,1

2.00e+00,5.00e-03,5.00e-03,2.16e-01,0
2.00e+00,5.00e-03,5.00e-03,6.22e-02,1

1.80e+01,5.00e-03,5.00e-03,3.63e+00,0
1.80e+01,5.00e-03,6.00e-03,2.00e+00,1
1.80e+01,5.00e-03,6.00e-03,5.48e-01,2

1.00e+00,5.00e-03,5.00e-03,2.32e-01,0
1.00e+00,5.00e-03,6.00e-03,9.91e-02,1

9.00e+00,5.00e-03,5.00e-03,4.57e+00,0
9.00e+00,5.00e-03,5.00e-03,4.57e-01,1

2.00e+00,5.00e-03,5.00e-03,9.40e-01,0
2.00e+00,5.00e-03,5.00e-03,4.21e-01,1

1.00e+00,5.00e-03,5.00e-03,1.76e-01,0
1.00e+00,5.00e-03,6.00e-03,1.65e-02,1

9.00e+00,5.00e-03,5.00e-03,5.43e-01,0
9.00e+00,5.00e-03,6.00e-03,1.34e+00,1
9.00e+00,5.00e-03,5.00e-03,1.85e-01,2

3.00e+00,5.00e-03,5.00e-03,3.20e-01,0
3.00e+00,5.00e-03,6.00e-03,1.92e-02,1

1.60e+01,5.00e-03,5.00e-03,1.17e+01,0
1.60e+01,5.00e-03,6.00e-03,1.17e+01,1
1.60e+01,5.00e-03,5.00e-03,1.87e+01,2
